feedback_id,customer_id,date_submitted,feedback_text,satisfaction_score,issue_type,resolved,feedback_length,satisfaction_category,cleaning_status
fdbk100000,cust106029,2021-08-14,Weight what decision able gun shoulder.,4,Fraud,True,39,High,Cleaned and Validated
fdbk100001,cust101758,2025-03-30,Case discuss approach leave hair.,3,Transaction,False,33,Medium,Cleaned and Validated
fdbk100002,cust107269,2025-07-24,Idea as effect bed need shake.,4,App_Usability,False,30,High,Cleaned and Validated
fdbk100003,cust108175,2024-06-07,Image design soldier strategy character learn into even agree prepare.,4,App_Usability,False,70,High,Cleaned and Validated
fdbk100004,cust101420,2022-01-12,Two lose traditional approach commercial throw threat.,3,Transaction,True,54,Medium,Cleaned and Validated
fdbk100005,cust102792,2023-06-17,Ground her administration conference huge toward wait someone.,3,Other,True,62,Medium,Cleaned and Validated
fdbk100006,cust108392,2025-03-24,Among go board return recent kid.,1,App_Usability,True,33,Low,Cleaned and Validated
fdbk100007,cust106515,2024-08-30,Find white shoulder four let modern owner organization nearly.,4,Fraud,True,62,High,Cleaned and Validated
fdbk100008,cust106934,2024-03-05,Pattern by more actually improve.,4,Fraud,True,33,High,Cleaned and Validated
fdbk100009,cust104509,2022-06-08,Accept daughter chair weight fire statement sister.,4,Other,True,51,High,Cleaned and Validated
fdbk100010,cust103413,2022-02-07,Mouth meet ago chair Mrs not entire weight five father report.,5,Other,True,62,High,Cleaned and Validated
fdbk100011,cust102938,2024-05-08,Chair above gas west many table.,5,Transaction,True,32,High,Cleaned and Validated
fdbk100012,cust104370,2024-12-17,Their international customer third fall learn second out happen stock.,2,App_Usability,True,70,Low,Cleaned and Validated
fdbk100013,cust108138,2024-06-23,Program third yeah situation fine necessary buy child yeah purpose.,1,Other,True,67,Low,Cleaned and Validated
fdbk100014,cust106920,2024-07-21,Several concern degree none only use production career tend.,4,Other,True,60,High,Cleaned and Validated
fdbk100015,cust107630,2023-07-21,Tonight nothing suddenly help care again.,3,App_Usability,True,41,Medium,Cleaned and Validated
fdbk100016,cust104475,2025-05-25,Democratic number some ball government state process likely walk successful.,4,App_Usability,True,76,High,Cleaned and Validated
fdbk100017,cust107037,2025-05-06,Energy in admit behind determine follow.,3,Transaction,True,40,Medium,Cleaned and Validated
fdbk100018,cust104895,2022-07-07,Adult baby administration increase eight gun.,2,Transaction,False,45,Low,Cleaned and Validated
fdbk100019,cust106740,2024-01-25,Television likely so mission why experience.,3,Other,True,44,Medium,Cleaned and Validated
fdbk100020,cust107069,2024-12-29,Science loss food sort think choose.,4,Transaction,True,36,High,Cleaned and Validated
fdbk100021,cust108104,2023-06-06,Who career decade month bank.,4,Transaction,True,29,High,Cleaned and Validated
fdbk100022,cust108359,2021-11-16,Member read some government radio student choose real.,5,Transaction,True,54,High,Cleaned and Validated
fdbk100023,cust103499,2025-04-18,Present green recently parent room public.,3,Transaction,True,42,Medium,Cleaned and Validated
fdbk100024,cust100991,2024-05-08,When local listen officer approach catch.,1,Transaction,True,41,Low,Cleaned and Validated
fdbk100025,cust109418,2021-05-10,Wife every receive threat several.,3,Transaction,True,34,Medium,Cleaned and Validated
fdbk100026,cust104133,2025-03-03,Here provide action front thought under already country consider role.,2,Transaction,True,70,Low,Cleaned and Validated
fdbk100027,cust100679,2025-05-21,Activity whatever sea TV argue industry than concern.,1,App_Usability,True,53,Low,Cleaned and Validated
fdbk100028,cust106386,2025-08-02,Ready drop morning half participant bar network stay card body.,3,App_Usability,True,63,Medium,Cleaned and Validated
fdbk100029,cust104739,2024-09-28,Mention college course large themselves happen current indicate bank travel start.,1,Other,True,82,Low,Cleaned and Validated
fdbk100030,cust102775,2023-03-28,Within charge girl give look across.,4,Other,True,36,High,Cleaned and Validated
fdbk100031,cust107446,2025-08-03,Manager tell bag true society many require.,5,Fraud,True,43,High,Cleaned and Validated
fdbk100032,cust101181,2025-08-03,Series reflect indicate concern at pretty.,1,Transaction,True,42,Low,Cleaned and Validated
fdbk100033,cust101900,2025-03-02,Also sing field doctor scene star sense.,2,Other,True,40,Low,Cleaned and Validated
fdbk100034,cust100322,2025-02-19,Better put about end environmental power individual exist treat.,4,Fraud,True,64,High,Cleaned and Validated
fdbk100035,cust109114,2023-04-11,Mouth company result across agent.,5,Fraud,True,34,High,Cleaned and Validated
fdbk100036,cust100395,2025-07-21,Report toward explain although force among.,4,Transaction,True,43,High,Cleaned and Validated
fdbk100037,cust100068,2025-06-11,Perhaps might move tree country water light about maybe campaign.,4,Fraud,False,65,High,Cleaned and Validated
fdbk100038,cust101315,2022-08-08,Glass individual issue service case establish popular me all.,5,Transaction,True,61,High,Cleaned and Validated
fdbk100039,cust103324,2024-12-30,War some why consumer almost health while.,3,Transaction,True,42,Medium,Cleaned and Validated
fdbk100040,cust103532,2024-08-20,Spring all thing middle phone than put.,3,Fraud,True,39,Medium,Cleaned and Validated
fdbk100041,cust107526,2024-08-14,Share three tell approach here chair student article myself according.,3,Other,True,70,Medium,Cleaned and Validated
fdbk100042,cust107828,2024-02-08,Often leg ball machine particularly owner.,4,Transaction,True,42,High,Cleaned and Validated
fdbk100043,cust103530,2022-09-15,Possible chance role way see blood something.,1,App_Usability,True,45,Low,Cleaned and Validated
fdbk100044,cust104113,2023-02-24,Girl industry authority service might drive room seek.,3,Transaction,True,54,Medium,Cleaned and Validated
fdbk100045,cust109294,2024-09-21,Plant cup necessary must customer.,1,Transaction,True,34,Low,Cleaned and Validated
fdbk100046,cust102956,2025-07-02,Institution summer thing order population fire candidate create bed.,4,Transaction,True,68,High,Cleaned and Validated
fdbk100047,cust109978,2023-09-02,Past suffer check their artist think give certainly offer government.,5,Transaction,True,69,High,Cleaned and Validated
fdbk100048,cust106344,2024-06-21,Box teach contain wrong modern.,3,App_Usability,True,31,Medium,Cleaned and Validated
