device_id,customer_id,device_type,app_version,is_rooted,last_active,days_since_last_active
dev100000,cust100000,Android,2.5.4,False,,
dev100001,cust100001,Feature_Phone,2.6.18,False,,
dev100002,cust100002,Android,2.5.0,False,2025-11-04 09:53:12,0.0
dev100003,cust100003,Android,2.4.12,False,2025-11-04 10:51:36,0.0
dev100004,cust100004,Feature_Phone,4.2.0,False,2025-11-04 18:05:12,0.0
dev100005,cust100005,Tablet,3.9.11,False,2025-11-04 06:33:42,0.0
dev100006,cust100006,Feature_Phone,4.1.16,False,2025-11-04 18:02:00,0.0
dev100007,cust100007,Android,3.0.19,False,2025-11-04 07:59:36,0.0
dev100008,cust100008,Ios,4.8.7,False,2025-11-04 08:32:12,0.0
dev100009,cust100009,Android,4.6.14,False,,
dev100010,cust100010,Android,3.8.2,True,2025-11-04 21:34:54,0.0
dev100011,cust100011,Ios,3.5.0,False,,
dev100012,cust100012,Feature_Phone,1.8.0,False,,
dev100013,cust100013,Tablet,2.4.5,False,,
dev100014,cust100014,Tablet,2.0.15,False,,
dev100015,cust100015,Feature_Phone,1.9.1,False,,
dev100016,cust100016,Feature_Phone,3.1.8,False,2025-11-04 11:11:06,0.0
dev100017,cust100017,Android,1.2.10,False,,
dev100018,cust100018,Ios,4.6.19,False,2025-11-04 13:33:36,0.0
dev100019,cust100019,Tablet,1.1.0,False,,
dev100020,cust100020,Ios,3.9.10,False,,
dev100021,cust100021,Ios,4.4.10,False,2025-11-04 15:18:24,0.0
dev100022,cust100022,Ios,1.2.6,False,2025-11-04 17:56:12,0.0
dev100023,cust100023,Ios,3.7.0,False,,
dev100024,cust100024,Android,3.3.11,False,,
dev100025,cust100025,Feature_Phone,4.6.13,False,2025-11-04 15:00:18,0.0
dev100026,cust100026,Android,2.5.16,False,2025-11-04 14:55:06,0.0
dev100027,cust100027,Tablet,1.3.15,False,2025-11-04 23:14:30,0.0
dev100028,cust100028,Ios,1.5.3,False,2025-11-04 09:22:00,0.0
dev100029,cust100029,Ios,3.8.10,False,,
dev100030,cust100030,Feature_Phone,3.1.16,False,,
dev100031,cust100031,Android,3.7.0,False,,
dev100032,cust100032,Ios,1.6.5,False,2025-11-04 10:14:36,0.0
dev100033,cust100033,Android,3.7.3,False,2025-11-04 07:23:36,0.0
dev100034,cust100034,Feature_Phone,1.4.9,False,,
dev100035,cust100035,Ios,1.7.7,False,2025-11-04 13:55:12,0.0
dev100036,cust100036,Ios,4.3.6,False,,
dev100037,cust100037,Android,4.2.17,False,2025-11-04 08:09:18,0.0
dev100038,cust100038,Ios,1.2.3,False,,
dev100039,cust100039,Feature_Phone,3.8.3,False,,
dev100040,cust100040,Feature_Phone,3.1.10,False,,
dev100041,cust100041,Android,3.1.8,False,2025-11-04 07:40:30,0.0
dev100042,cust100042,Ios,2.9.2,False,,
dev100043,cust100043,Tablet,2.5.13,False,,
dev100044,cust100044,Android,3.0.8,False,2025-11-04 04:48:36,0.0
dev100045,cust100045,Android,2.8.20,False,,
dev100046,cust100046,Android,4.0.3,False,2025-11-04 05:45:36,0.0
dev100047,cust100047,Feature_Phone,3.6.10,False,2025-11-04 11:48:12,0.0
dev100048,cust100048,Android,2.7.8,False,,
dev100049,cust100049,Android,2.1.3,False,2025-11-04 19:21:42,0.0
dev100050,cust100050,Android,2.2.17,False,2025-11-04 02:08:36,0.0
dev100051,cust100051,Android,2.1.0,False,,
dev100052,cust100052,Ios,1.4.20,False,,
dev100053,cust100053,Ios,1.1.2,False,,
dev100054,cust100054,Tablet,2.1.9,False,2025-11-04 23:34:36,0.0
dev100055,cust100055,Android,2.6.7,False,,
dev100056,cust100056,Android,4.1.13,False,2025-11-04 00:46:42,0.0
dev100057,cust100057,Android,2.5.7,False,,
dev100058,cust100058,Ios,2.9.19,False,,
dev100059,cust100059,Ios,4.9.9,False,2025-11-04 04:39:30,0.0
dev100060,cust100060,Feature_Phone,3.1.16,False,,
dev100061,cust100061,Ios,4.7.6,False,2025-11-04 09:07:54,0.0
dev100062,cust100062,Feature_Phone,4.3.17,False,2025-11-04 01:01:00,0.0
dev100063,cust100063,Android,3.7.16,False,,
dev100064,cust100064,Tablet,2.8.1,False,2025-11-04 18:33:30,0.0
dev100065,cust100065,Tablet,4.5.9,False,,
dev100066,cust100066,Tablet,2.1.11,False,2025-11-04 10:56:24,0.0
dev100067,cust100067,Ios,1.2.9,False,2025-11-04 03:46:06,0.0
dev100068,cust100068,Android,3.5.0,False,,
dev100069,cust100069,Tablet,1.6.8,False,,
dev100070,cust100070,Ios,3.7.1,False,,
dev100071,cust100071,Feature_Phone,1.0.17,False,,
dev100072,cust100072,Tablet,1.3.16,False,,
dev100073,cust100073,Android,3.9.12,False,,
dev100074,cust100074,Android,2.3.18,True,2025-11-04 01:38:36,0.0
dev100075,cust100075,Tablet,2.2.3,False,2025-11-04 23:48:00,0.0
dev100076,cust100076,Tablet,2.5.0,False,2025-11-04 17:43:24,0.0
dev100077,cust100077,Tablet,1.1.10,False,,
dev100078,cust100078,Tablet,1.3.16,False,,
dev100079,cust100079,Tablet,2.3.13,False,,
dev100080,cust100080,Feature_Phone,2.6.15,False,,
dev100081,cust100081,Ios,1.5.5,False,,
dev100082,cust100082,Ios,2.4.17,False,,
dev100083,cust100083,Tablet,4.4.2,False,2025-11-04 18:24:24,0.0
dev100084,cust100084,Ios,2.1.20,False,,
dev100085,cust100085,Tablet,4.7.8,False,,
dev100086,cust100086,Ios,3.8.2,False,2025-11-04 12:22:48,0.0
dev100087,cust100087,Feature_Phone,1.7.4,False,,
dev100088,cust100088,Android,1.3.13,False,,
dev100089,cust100089,Tablet,4.9.1,False,,
dev100090,cust100090,Feature_Phone,4.7.7,False,2025-11-04 22:45:30,0.0
dev100091,cust100091,Ios,3.4.9,False,2025-11-04 02:30:54,0.0
dev100092,cust100092,Tablet,2.3.13,False,,
dev100093,cust100093,Tablet,4.3.13,False,2025-11-04 02:27:48,0.0
dev100094,cust100094,Android,3.9.0,False,,
dev100095,cust100095,Ios,3.2.16,False,,
dev100096,cust100096,Android,3.0.11,False,,
dev100097,cust100097,Ios,4.6.13,False,,
dev100098,cust100098,Ios,3.5.13,False,,
dev100099,cust100099,Android,2.1.10,False,,
dev100100,cust100100,Ios,2.5.15,False,,
dev100101,cust100101,Feature_Phone,3.5.6,False,,
dev100102,cust100102,Android,4.9.19,False,2025-11-04 01:39:12,0.0
dev100103,cust100103,Android,1.2.17,False,,
dev100104,cust100104,Feature_Phone,3.6.7,False,,
dev100105,cust100105,Tablet,2.9.13,False,2025-11-04 21:22:00,0.0
