alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks,resolution_time_days,cleaning_status
alert134117,txn10034117,Frequent_Failure,,False,,Strategy forward the risk necessary company ready.,,Cleaned and Validated
alert183925,txn10083925,Frequent_Failure,,True,,Art do federal short.,,Cleaned and Validated
alert163439,txn10063439,Unusual_Time,2025-11-04 23:55:54,True,2025-11-04 23:55:54,Age board fine participant join.,0.0,Cleaned and Validated
alert164967,txn10064967,Frequent_Failure,,True,,Among doctor much physical interest catch.,,Cleaned and Validated
alert159661,txn10059661,Frequent_Failure,,True,,Would catch themselves be represent why decade.,,Cleaned and Validated
alert180006,txn10080006,Unusual_Amount,2025-11-04 01:59:24,True,2025-11-04 01:59:24,Democrat class ago such story cold environmental tax.,0.0,Cleaned and Validated
alert130778,txn10030778,Unusual_Amount,,True,2025-11-04 06:42:00,Anyone onto style science then Republican black myself.,,Cleaned and Validated
alert122322,txn10022322,Unusual_Amount,2025-11-04 00:55:12,True,2025-11-04 00:55:12,Write anyone capital national.,0.0,Cleaned and Validated
alert155954,txn10055954,Unusual_Amount,2025-11-04 15:11:00,False,,Realize mention grow several season husband their.,,Cleaned and Validated
alert140444,txn10040444,Suspicious_Login,2025-11-04 05:01:54,False,,Everybody team effect purpose series imagine name.,,Cleaned and Validated
alert173510,txn10073510,Suspicious_Login,2025-11-04 07:29:48,True,2025-11-04 07:29:48,Price front summer score artist defense.,0.0,Cleaned and Validated
alert172416,txn10072416,Unusual_Time,2025-11-04 16:19:42,True,2025-11-04 16:19:42,Score may reality compare almost impact college address.,0.0,Cleaned and Validated
alert182690,txn10082690,Unusual_Time,2025-11-04 04:17:48,True,2025-11-04 04:17:48,Attention final model ability simple response stock.,0.0,Cleaned and Validated
alert156982,txn10056982,Frequent_Failure,,True,,Break report fear for officer.,,Cleaned and Validated
alert121922,txn10021922,Unusual_Time,,True,,Century class enjoy.,,Cleaned and Validated
alert190191,txn10090191,Suspicious_Login,2025-11-04 10:06:36,True,2025-11-04 10:06:36,Represent happen child allow nice member along.,0.0,Cleaned and Validated
alert132693,txn10032693,Suspicious_Login,2025-11-04 21:06:18,True,2025-11-04 21:06:18,Believe western head democratic mission she daughter.,0.0,Cleaned and Validated
alert162262,txn10062262,Unusual_Time,2025-11-04 00:02:12,True,2025-11-04 00:02:12,Pay true for contain.,0.0,Cleaned and Validated
alert143058,txn10043058,Suspicious_Login,2025-11-04 08:29:00,False,,Official billion sign prepare them while stop.,,Cleaned and Validated
alert172962,txn10072962,Frequent_Failure,,False,,I computer mention lay area under its.,,Cleaned and Validated
alert111288,txn10011288,Frequent_Failure,2025-11-04 21:44:18,False,,Including have accept until.,,Cleaned and Validated
alert190757,txn10090757,Frequent_Failure,2025-11-04 13:55:00,True,2025-11-04 13:55:00,Specific case his increase lose.,0.0,Cleaned and Validated
alert195992,txn10095992,Suspicious_Login,,True,,Source detail never figure interesting information.,,Cleaned and Validated
alert144016,txn10044016,Unusual_Time,,False,,Benefit respond head.,,Cleaned and Validated
alert131558,txn10031558,Unusual_Time,2025-11-04 16:55:42,True,2025-11-04 16:55:42,Sometimes maybe just return.,0.0,Cleaned and Validated
alert118287,txn10018287,Unusual_Time,2025-11-04 10:45:42,True,2025-11-04 10:45:42,Us argue left east partner money.,0.0,Cleaned and Validated
alert197713,txn10097713,Suspicious_Login,,True,,Several ok scientist meeting.,,Cleaned and Validated
